cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
8,green,25,48,118,0.741,8.12717927649353e-34,0,1.4236217395048188e-30
8,yellow flag,18,21,118,0.324,8.205177498799505e-31,1,1.330819011212696e-27
8,chequered,15,16,118,0.247,4.237346421214184e-27,0,5.8598486677203645e-24
8,chequered flag,15,16,118,0.247,4.237346421214184e-27,1,5.8598486677203645e-24
8,green flag,17,26,118,0.401,1.3499537468997185e-25,1,1.791429529825226e-22
8,red flag,10,19,118,0.293,4.2776345176038536e-14,1,3.248430707426149e-11
8,red,12,38,118,0.586,1.9956034429326552e-13,0,1.4405186698830796e-10
8,flag flies,6,6,118,0.093,1.1888102707050032e-11,1,6.850049917725461e-09
8,sees checkered,6,6,118,0.093,1.1888102707050032e-11,1,6.850049917725461e-09
8,sees,9,22,118,0.339,1.5328955577545628e-11,0,8.717995099375041e-09
8,nation driver,13,75,118,1.157,8.156131357232425e-11,1,4.232456643366798e-08
8,flag sector,6,7,118,0.108,8.217120069007293e-11,1,4.232456643366798e-08
8,flies,6,7,118,0.108,8.217120069007293e-11,0,4.232456643366798e-08
8,got yellow,6,7,118,0.108,8.217120069007293e-11,1,4.232456643366798e-08
8,flags,6,10,118,0.154,2.3734114717985203e-09,0,1.0290736155742654e-06
8,sector,8,28,118,0.432,6.082196565540875e-09,0,2.536681447601581e-06
8,nation,14,127,118,1.96,7.143526678978597e-09,0,2.941968529710007e-06
8,black,4,4,118,0.062,5.39014125618268e-08,0,1.9400964319787827e-05
8,flag fly,4,4,118,0.062,5.39014125618268e-08,1,1.9400964319787827e-05
8,driver,15,207,118,3.194,5.718529561447497e-07,0,0.0001703577187448
8,fly,4,6,118,0.093,7.893447319208916e-07,0,0.0002299355953455
8,driver checkered,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
8,driver look,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
8,flag flying,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
8,flag wins,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
8,sees chequered,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
8,racing,11,144,118,2.222,1.2294522736630784e-05,0,0.0027752666993945
8,going green,3,4,118,0.062,1.4169509592665963e-05,1,0.0030170721106095
8,waved,3,4,118,0.062,1.4169509592665963e-05,0,0.0030170721106095
8,yellow flags,3,5,118,0.077,3.502433722183461e-05,1,0.0069297550103249
9,formula,128,176,134,3.084,2.62616297658948e-228,0,6.90029574424839e-224
9,formula world,13,15,134,0.263,8.292276885178547e-22,1,9.473097113627972e-19
9,time formula,12,20,134,0.35,5.694376147610613e-17,1,5.23149902635309e-14
9,podium formula,9,11,134,0.193,6.350658529958364e-15,1,5.214525718948813e-12
9,podium,24,185,134,3.242,7.399096436734935e-15,0,5.963580941549011e-12
9,formula career,7,8,134,0.14,3.420005220261239e-12,1,2.139555265795431e-09
9,world championship,14,72,134,1.262,1.6326631400227453e-11,1,9.20569754006988e-09
9,world,18,145,134,2.541,4.905973029621479e-11,0,2.6307229091410266e-08
9,championship,18,170,134,2.979,7.043131224660026e-10,0,3.258092985108929e-07
9,career,9,34,134,0.596,4.305878733055161e-09,0,1.8293040521750024e-06
9,best formula,4,4,134,0.07,9.019409685700697e-08,1,3.1514201246505703e-05
9,formula 2025,4,4,134,0.07,9.019409685700697e-08,1,3.1514201246505703e-05
9,formula podium,4,4,134,0.07,9.019409685700697e-08,1,3.1514201246505703e-05
9,2025,6,16,134,0.28,1.7947675655300142e-07,0,5.909508363134615e-05
9,time,26,484,134,8.481,2.1305676517404e-07,0,6.962822283956388e-05
9,champion,10,75,134,1.314,6.139985559599058e-07,0,0.0001820947965998
9,returns,4,6,134,0.105,1.3163516836166817e-06,0,0.0003767691041107
9,personal,4,7,134,0.123,3.0297318973067047e-06,0,0.0008041591552545
