fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
3,welcome formula,3,1046,0.0002374745813186,True,0.002868068833652
3,winner formula,3,1046,0.0002374745813186,True,0.002868068833652
3,wins formula,3,1046,0.0002374745813186,True,0.002868068833652
4,sonoda,45,58,6.330043051286178e-105,True,0.7758620689655172
4,ricardo,9,58,8.303398818303477e-19,True,0.1551724137931034
4,sonota,5,58,4.019361880222671e-13,True,0.0862068965517241
4,11th,4,58,1.1567985753870654e-05,True,0.0689655172413793
4,position,9,58,1.993442919417825e-05,True,0.1551724137931034
4,position lost,2,58,3.4749525182232754e-05,True,0.0344827586206896
4,past sonoda,2,58,6.934532112095134e-05,True,0.0344827586206896
4,rb,3,58,7.40751294542371e-05,True,0.0517241379310344
4,score,3,58,0.0001780179583742,True,0.0517241379310344
4,place,8,58,0.0002010230950419,True,0.1379310344827586
5,commentary,39,44,9.784605469974052e-99,True,0.8863636363636364
5,commentary box,30,44,1.7217447130475746e-73,True,0.6818181818181818
5,box,30,44,9.692831301088406e-63,True,0.6818181818181818
5,dc,4,44,8.34263833567279e-09,True,0.0909090909090909
5,louis,3,44,1.3129630348529496e-05,True,0.0681818181818181
5,past commentary,2,44,1.989792731755041e-05,True,0.0454545454545454
5,yeah looking,2,44,1.989792731755041e-05,True,0.0454545454545454
5,window,4,44,2.574704984109198e-05,True,0.0909090909090909
5,box window,2,44,9.899535264700776e-05,True,0.0454545454545454
5,watching,3,44,0.0001897352849323,True,0.0681818181818181
6,medium,20,57,2.5190859305289048e-28,True,0.3508771929824561
6,mediums,12,57,3.1718745873380376e-23,True,0.2105263157894736
6,hards,10,57,1.5872581090338054e-19,True,0.175438596491228
6,soft,10,57,1.2785821427238885e-12,True,0.175438596491228
6,softs,4,57,8.102573826054045e-09,True,0.0701754385964912
6,hard,8,57,7.046655360527335e-06,True,0.1403508771929824
6,set hards,2,57,6.695940415966042e-05,True,0.0350877192982456
6,started soft,2,57,0.0001113566163619,True,0.0350877192982456
6,soft hard,2,57,0.0001666722111987,True,0.0350877192982456
7,pit,335,468,0.0,True,0.7158119658119658
7,lane,119,468,3.351400855706819e-159,True,0.2542735042735042
7,pit lane,110,468,5.010293890863656e-147,True,0.235042735042735
7,pit stop,91,468,1.3504292890509282e-116,True,0.1944444444444444
7,pits,72,468,8.2338154552556355e-84,True,0.1538461538461538
7,stop,100,468,1.8481032335498605e-74,True,0.2136752136752136
7,pitted,41,468,5.013290259110901e-56,True,0.0876068376068376
7,pit stops,26,468,2.4471256483155287e-34,True,0.0555555555555555
7,stops,30,468,2.6472152398306104e-32,True,0.0641025641025641
7,make pit,14,468,8.281192163970956e-20,True,0.0299145299145299
7,pit wall,13,468,2.5281085533909544e-18,True,0.0277777777777777
7,pitting,12,468,1.844888180616653e-13,True,0.0256410256410256
7,started pit,9,468,1.83748798276133e-12,True,0.0192307692307692
7,pit exit,7,468,1.207247809619854e-11,True,0.0149572649572649
7,coming pits,8,468,1.4135425073647363e-11,True,0.017094017094017
7,pitted lap,6,468,4.408283668460375e-10,True,0.0128205128205128
7,seconds pit,6,468,4.408283668460375e-10,True,0.0128205128205128
7,fast lane,7,468,1.3472713423593336e-09,True,0.0149572649572649
7,wall,14,468,2.1940606182234795e-09,True,0.0299145299145299
7,comes pits,7,468,3.6164914161987406e-09,True,0.0149572649572649
7,crew,7,468,3.6164914161987406e-09,True,0.0149572649572649
7,end pit,7,468,3.6164914161987406e-09,True,0.0149572649572649
7,exit,13,468,9.485899011959166e-09,True,0.0277777777777777
7,got pit,6,468,1.1770643633015758e-08,True,0.0128205128205128
7,didn pit,5,468,1.60631001664352e-08,True,0.0106837606837606
7,speeding pit,5,468,1.60631001664352e-08,True,0.0106837606837606
7,speeding,6,468,3.4483778498528555e-08,True,0.0128205128205128
7,come pits,7,468,3.4981761498441245e-08,True,0.0149572649572649
7,second pit,5,468,9.417445916438105e-08,True,0.0106837606837606
7,need make,5,468,3.2207719782697095e-07,True,0.0106837606837606
7,just pit,4,468,5.840875560519284e-07,True,0.0085470085470085
7,lane speed,4,468,5.840875560519284e-07,True,0.0085470085470085
7,pit crew,4,468,5.840875560519284e-07,True,0.0085470085470085
7,race pit,4,468,5.840875560519284e-07,True,0.0085470085470085
7,make,26,468,6.09443581104316e-07,True,0.0555555555555555
7,comes,14,468,6.551636789150746e-07,True,0.0299145299145299
7,going pit,5,468,1.8452185502148563e-06,True,0.0106837606837606
7,speed limit,4,468,2.8561853795939004e-06,True,0.0085470085470085
7,stop phase,4,468,2.8561853795939004e-06,True,0.0085470085470085
7,come,22,468,3.0474328834123977e-06,True,0.047008547008547
7,started,15,468,3.893585231600619e-06,True,0.032051282051282
7,undercut,7,468,5.021218698374324e-06,True,0.0149572649572649
7,come pit,4,468,8.38020722045294e-06,True,0.0085470085470085
7,limiter,4,468,8.38020722045294e-06,True,0.0085470085470085
7,starting pit,4,468,8.38020722045294e-06,True,0.0085470085470085
7,cover,8,468,9.51554452859424e-06,True,0.017094017094017
7,busy,5,468,1.0823189996943062e-05,True,0.0106837606837606
7,called pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,close pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,coming pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,drive speeding,3,468,2.119421361992298e-05,True,0.0064102564102564
7,free pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,lane safety,3,468,2.119421361992298e-05,True,0.0064102564102564
7,lane ve,3,468,2.119421361992298e-05,True,0.0064102564102564
7,let pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,normal pit,3,468,2.119421361992298e-05,True,0.0064102564102564
7,pit ve,3,468,2.119421361992298e-05,True,0.0064102564102564
7,pitstop,3,468,2.119421361992298e-05,True,0.0064102564102564
7,stop makes,3,468,2.119421361992298e-05,True,0.0064102564102564
7,coming,21,468,3.782728877170981e-05,True,0.0448717948717948
7,entry,6,468,4.9809207214836514e-05,True,0.0128205128205128
7,drive penalty,3,468,8.302459181153615e-05,True,0.0064102564102564
7,lane just,3,468,8.302459181153615e-05,True,0.0064102564102564
