event_id,threshold,category_id,delta_all,delta_assigned
2023_Singapore_GP,0.4,19,0.012385321100917432,0.011335364305661335
2023_Singapore_GP,0.4,20,-0.012232415902140673,-0.015232292460015232
2023_Singapore_GP,0.4,21,0.01131498470948012,0.005915206905305916
2023_Singapore_GP,0.4,22,0.014831804281345565,0.014381822797664381
2023_Singapore_GP,0.4,23,-0.00963302752293578,-0.016082762122366086
2023_Singapore_GP,0.4,24,-0.007186544342507647,-0.013036303630363035
2023_Singapore_GP,0.4,25,0.031192660550458717,0.02249301853262249
2023_Singapore_GP,0.4,26,-0.002905198776758409,-0.007705001269357706
2023_Singapore_GP,0.4,27,0.028287461773700298,-0.0015613099771515648
2023_Singapore_GP,0.4,28,0.027217125382262997,0.02571718710332572
2023_Singapore_GP,0.4,29,-0.010397553516819572,-0.012947448591012947
2023_Singapore_GP,0.4,30,-0.01697247706422018,-0.02522213759837522
2023_Singapore_GP,0.4,31,0.00718654434250765,-0.0033130236100533117
2023_Singapore_GP,0.4,32,0.046483180428134555,0.041533384107641534
2023_Singapore_GP,0.4,33,-0.017737003058103974,-0.022086824067022087
2023_Singapore_GP,0.45,0,0.02614678899082569,0.019114341272358677
2023_Singapore_GP,0.45,1,-0.0061162079510703364,-0.008136696501220505
2023_Singapore_GP,0.45,2,-0.0006116207951070336,-0.0008136696501220504
2023_Singapore_GP,0.45,3,-0.001834862385321101,-0.0024410089503661514
2023_Singapore_GP,0.45,4,0.0154434250764526,0.01532181324212878
2023_Singapore_GP,0.45,5,-0.001834862385321101,-0.0024410089503661514
2023_Singapore_GP,0.45,6,0.042507645259938845,0.02520996814276455
2023_Singapore_GP,0.45,7,-0.001834862385321101,-0.0024410089503661514
2023_Singapore_GP,0.45,8,-0.00856269113149847,-0.011391375101708706
2023_Singapore_GP,0.45,9,0.03776758409785933,0.03457406462467764
2023_Singapore_GP,0.45,10,0.0,0.0
2023_Singapore_GP,0.45,11,-0.0061162079510703364,-0.008136696501220505
2023_Singapore_GP,0.45,12,-0.00045871559633027525,-0.005833597661044531
2023_Singapore_GP,0.45,13,-0.005351681957186546,-0.012342954862020934
2023_Singapore_GP,0.45,14,0.018807339449541285,0.009350305470894077
2023_Singapore_GP,0.45,15,-0.06299694189602446,-0.0838079739625712
2023_Singapore_GP,0.45,16,0.005810397553516818,-0.002716829170746504
2023_Singapore_GP,0.45,17,-0.014525993883792051,-0.02454799961385169
2023_Singapore_GP,0.45,18,0.06850152905198777,0.0493442374260457
2023_Singapore_GP,0.45,19,0.012996941896024464,0.012067134641640578
2023_Singapore_GP,0.45,20,-0.009174311926605505,-0.012205044751830757
2023_Singapore_GP,0.45,21,0.01253822629969419,0.006233536980596047
2023_Singapore_GP,0.45,22,0.014831804281345565,0.01450814359200673
2023_Singapore_GP,0.45,23,-0.006574923547400611,-0.013970294162265036
2023_Singapore_GP,0.45,24,-0.005351681957186546,-0.012342954862020934
2023_Singapore_GP,0.45,25,0.03302752293577982,0.02304477941277875
2023_Singapore_GP,0.45,26,-0.0010703363914373078,-0.0066472673111665805
2023_Singapore_GP,0.45,27,0.0319571865443425,-0.004495869592199803
2023_Singapore_GP,0.45,28,0.030275229357798163,0.02982995683413551
2023_Singapore_GP,0.45,29,-0.009785932721712538,-0.013018714401952807
2023_Singapore_GP,0.45,30,-0.01513761467889908,-0.02536166926397374
2023_Singapore_GP,0.45,31,0.00718654434250765,-0.006109417881424883
2023_Singapore_GP,0.45,32,0.046483180428134555,0.04094551171546386
2023_Singapore_GP,0.45,33,-0.01529051987767584,-0.02034174125305126
2024_Bahrain_GP,0.35,0,-0.023449319213313162,-0.029636711281070746
2024_Bahrain_GP,0.35,1,-0.0030257186081694403,-0.0038240917782026767
2024_Bahrain_GP,0.35,2,-0.009077155824508321,-0.011472275334608031
2024_Bahrain_GP,0.35,3,0.007837451672550007,0.006436323485848168
2024_Bahrain_GP,0.35,4,-0.00529500756429652,-0.006692160611854685
2024_Bahrain_GP,0.35,5,-0.0022692889561270802,-0.0028680688336520078
2024_Bahrain_GP,0.35,6,0.01800722810556396,0.005412974981822097
2024_Bahrain_GP,0.35,7,0.012376029584804167,0.012172461153152183
2024_Bahrain_GP,0.35,8,-0.009077155824508321,-0.011472275334608031
2024_Bahrain_GP,0.35,9,-0.012586148932593712,-0.0193762960170199
2024_Bahrain_GP,0.35,10,0.0,0.0
2024_Bahrain_GP,0.35,11,-0.007291141368297192,-0.012684135405165218
2024_Bahrain_GP,0.35,12,-0.0027525634560430327,-0.006947997737861202
2024_Bahrain_GP,0.35,13,-0.020906875105059675,-0.02989254840707726
2024_Bahrain_GP,0.35,14,0.0013027399562951757,-0.005291788974766381
2024_Bahrain_GP,0.35,15,-0.02214657925701799,-0.03492850025583712
2024_Bahrain_GP,0.35,16,-0.01739788199697428,-0.02198852772466539
2024_Bahrain_GP,0.35,17,-0.019667170953101363,-0.0248565965583174
2024_Bahrain_GP,0.35,18,0.13344679778113971,0.11662133412328655
2024_Bahrain_GP,0.35,19,0.03864094805849722,0.038429429348557885
2024_Bahrain_GP,0.35,20,-0.009560430324424274,-0.015552204238817225
2024_Bahrain_GP,0.35,21,-0.03527903849386452,-0.04805698435353998
2024_Bahrain_GP,0.35,22,-0.009077155824508321,-0.011472275334608031
2024_Bahrain_GP,0.35,23,-0.019667170953101363,-0.0248565965583174
2024_Bahrain_GP,0.35,24,-0.0012397041519583134,-0.005035951848759863
2024_Bahrain_GP,0.35,25,0.033135821146411164,0.024533433872835485
2024_Bahrain_GP,0.35,26,0.04269625147083543,0.04008563811165271
2024_Bahrain_GP,0.35,27,0.10339973104723482,0.08558425120512753
2024_Bahrain_GP,0.35,28,-0.0113464447806354,-0.014340344168260038
2024_Bahrain_GP,0.35,29,0.029563792233988903,0.026957154013949856
2024_Bahrain_GP,0.35,30,-0.013069423432509664,-0.023456224921229094
2024_Bahrain_GP,0.35,31,0.009413346780971589,-0.001979371448576739
2024_Bahrain_GP,0.35,32,0.028807362581946543,0.026001131069399185
2024_Bahrain_GP,0.35,33,-0.009560430324424274,-0.015552204238817225
2024_Bahrain_GP,0.4,0,-0.02193645990922844,-0.030558482613277135
2024_Bahrain_GP,0.4,1,-0.0030257186081694403,-0.004214963119072708
2024_Bahrain_GP,0.4,2,-0.0037821482602118004,-0.005268703898840885
2024_Bahrain_GP,0.4,3,0.008593881324592368,0.007329696894563937
2024_Bahrain_GP,0.4,4,-0.0037821482602118004,-0.005268703898840885
2024_Bahrain_GP,0.4,5,-0.0022692889561270802,-0.003161222339304531
2024_Bahrain_GP,0.4,6,0.01876365775760632,0.0029287795202380257
2024_Bahrain_GP,0.4,7,0.012376029584804167,0.012598400793404822
