n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_negative,n_positive,n_zero,threshold,category_id,metric,category_name,majority_sign,n_majority
10,-0.017694658618632238,-0.01739542762609963,0.015211275477806426,-0.027618194450242342,-0.005459705868867978,0.022158488581374362,-0.042007026550790215,0.000984041415308258,8,2,0,0.4,30,assigned,Lap pace & timing,-1,8
10,-0.007084761906686166,-0.007910588720087718,0.024240303386046807,-0.02647135623371444,0.0063569669492613175,0.03282832318297576,-0.03592814371257485,0.04306077413967913,6,4,0,0.4,31,all,Race leader changes,-1,6
10,-0.019540123918719895,-0.019756329015316543,0.024927110112556664,-0.04045744364376929,-0.0056480608869235605,0.03480938275684573,-0.050314465408805034,0.031423265145661336,9,1,0,0.4,31,assigned,Race leader changes,-1,9
10,0.010860574812217517,0.011080626103591458,0.022296469083562077,-0.007601891245449158,0.028243203456928802,0.03584509470237796,-0.023298589822194973,0.046483180428134555,4,6,0,0.4,32,all,Front position changes,1,6
10,0.007108772394572636,0.005776605300025248,0.023669824369570547,-0.011119286852244106,0.025144282915464534,0.03626356976770864,-0.031020408163265307,0.041533384107641534,4,6,0,0.4,32,assigned,Front position changes,1,6
10,0.007722185073189664,0.00546770679598004,0.018421920298236704,-0.004726505715787573,0.018968937125748507,0.02369544284153608,-0.017737003058103974,0.042684354272337105,4,6,0,0.4,33,all,Field position changes,1,6
10,0.0019954092743164216,0.0005368876611155267,0.019278355024958865,-0.01444137759837585,0.0176973634805432,0.03213874107891905,-0.022086824067022087,0.03407407407407407,5,5,0,0.4,33,assigned,Field position changes,0,5
10,2.9354328836533883e-05,-0.0022844075628271018,0.014729980869259654,-0.010334743763451441,0.00991774810906655,0.020252491872517993,-0.02118003025718608,0.02614678899082569,6,4,0,0.45,0,all,DRS-assisted battles,-1,6
10,-0.00475445388939393,-0.006252482146596478,0.017051551804483648,-0.01520614828209765,0.007687890169230551,0.022894038451328202,-0.03345280764635603,0.019114341272358677,7,3,0,0.45,0,assigned,DRS-assisted battles,-1,7
10,0.00612799237591092,-0.0022547161626513537,0.024622549280463462,-0.007307640795553473,0.007298336155966164,0.014605976951519637,-0.009191616766467067,0.07169054121843821,7,3,0,0.45,1,all,Time penalties,-1,7
10,0.001796712893937289,-0.003556405450456945,0.02342715736486761,-0.01089611442381259,0.006697881603159642,0.01759399602697223,-0.024713970293054995,0.06023090833217416,7,3,0,0.45,1,assigned,Time penalties,-1,7
10,0.0005668946387825226,-0.00066614173367986,0.003898140281534692,-0.001321770226566534,-0.0006119957925289263,0.0007097744340376078,-0.002688172043010753,0.008316929133858267,8,2,0,0.45,2,all,Lights-out race starts,-1,8
10,0.00021948009551645068,-0.000971253534401508,0.004631251629943211,-0.0020869260160952187,-0.0008362920205933461,0.0012506339955018725,-0.004234297812279464,0.00870646766169154,8,2,0,0.45,2,assigned,Lights-out race starts,-1,8
10,0.005266338319672588,0.0041502211051152645,0.008162904000017448,-0.001364828089738484,0.01089379593208132,0.012258624021819804,-0.004464285714285714,0.019251497005988025,5,5,0,0.45,3,all,Mirror checks defending,0,5
10,0.004615705925421374,0.0033376622769733764,0.008603888675060529,-0.002087861679604799,0.010766902896838662,0.012854764576443462,-0.006396588486140725,0.020097350461661983,5,5,0,0.45,3,assigned,Mirror checks defending,0,5
10,0.007417053795540663,0.003800378826334746,0.010890034010384615,-0.0021990415260592427,0.015657857551092974,0.017856899077152218,-0.00283860502838605,0.02555615196516968,5,5,0,0.45,4,all,Race start launch,0,5
10,0.007080124715104575,0.0035918463406226023,0.011761584467100801,-0.0031691367069560847,0.01554105283758742,0.018710189544543503,-0.004353233830845771,0.026746031746031743,5,5,0,0.45,4,assigned,Race start launch,0,5
10,-0.010899613362530121,-0.0023511894902289903,0.022425917588076043,-0.010141436382245204,-0.0018905500811718958,0.00825088630107331,-0.05824372759856631,0.017754491017964072,9,1,0,0.45,5,all,Weather conditions,-1,9
10,-0.018149821118979406,-0.0036577863371315463,0.0344612955360576,-0.014763348331722296,-0.0025807567127746137,0.012182591618947683,-0.09174311926605505,0.017738859895624248,9,1,0,0.45,5,assigned,Weather conditions,-1,9
10,0.02842507634218831,0.0206763851296817,0.029652178112932692,0.01844037319062662,0.04365253032171149,0.02521215713108487,-0.03273809523809525,0.07497585928958478,1,9,0,0.45,6,all,Grand Prix wins,1,9
10,0.010458111972476966,0.0034218200384838054,0.03430738520547503,-0.0033613113290532695,0.025037881771061168,0.028399193100114437,-0.05561478322672353,0.07216911269691664,3,7,0,0.45,6,assigned,Grand Prix wins,1,7
10,0.0012567971415201012,-0.0016659341866725266,0.007086937308543265,-0.0029178993326696204,0.002916622787120745,0.005834522119790365,-0.005376344086021506,0.015116214257845158,7,3,0,0.45,7,all,Race start lights,-1,7
10,0.0001757487069785595,-0.0023997497582019436,0.007811657820867197,-0.004438223585184351,0.00163978518988489,0.006078008775069242,-0.008468595624558928,0.014709973570733066,7,3,0,0.45,7,assigned,Race start lights,-1,7
