cluster_id,thematic_label,term,train_obs,train_z,train_p,train_q,train_log2fc,test_obs,test_z,test_p,test_q_subset_fdr,test_log2fc,replicated_strict,replicated_lenient,direction_ok
15,(no label),laps,9,5.305538313601745,0.0,0.0,1.7543826472436155,4,3.54899176564107,0.01,0.019146341463414634,1.4212061673232472,True,True,True
15,(no label),medium,42,21.381861038807408,0.0,0.0,3.178944819722278,7,9.222254892814522,0.0,0.0,2.3733272473940064,True,True,True
15,(no label),mediums,6,6.847195062405291,0.0,0.0,2.1015981400078068,0,-0.29287596363649293,1.0,1.0,-0.1096948648259298,False,False,False
15,(no label),new,11,5.902832913694598,0.0,0.0,1.9709594558562518,3,3.0682577279587164,0.025,0.04385474860335196,1.3102535615064443,True,True,True
15,(no label),old,9,5.455587333805796,0.0,0.0,1.7823970234132123,1,1.194409679050284,0.279,0.3590409836065574,0.5940076403241633,False,False,True
15,(no label),pirelli,7,9.18674438784214,0.0,0.0,2.376133138147302,0,-0.29488391230979427,1.0,1.0,-0.11103131238874402,False,False,False
15,(no label),rear,14,5.340431132652608,0.0,0.0,1.7222929114527579,6,4.938815591821607,0.0,0.0,1.816037165157405,True,True,True
15,(no label),rid,5,5.156317551261621,0.0,0.0,1.7867045680766562,1,4.105745103771404,0.056,0.08577560975609756,0.9213901653036335,False,True,True
15,(no label),rubber,9,8.256798868545872,0.0,0.0,2.3226496228048217,1,3.7021456417787206,0.068,0.10024413145539908,0.905088352974533,False,True,True
15,(no label),set,16,10.546531842833994,0.0,0.0,2.665229840567292,5,7.046597470977052,0.0,0.0,2.0009621174353835,True,True,True
15,(no label),slick,10,8.826834957919903,0.0,0.0,2.425920516275974,0,0.0,1.0,1.0,0.0,False,False,False
15,(no label),soft,18,12.422422572798245,0.0,0.0,2.684281243959522,13,12.222171240274667,0.0,0.0,2.8632461229496493,True,True,True
15,(no label),temperature,11,10.088719407148938,0.0,0.0,2.522150008316135,4,7.454549114306105,0.0,0.0,1.9669118306678126,True,True,True
15,(no label),tire,81,27.867105704508297,0.0,0.0,3.3606209935367946,25,16.16420593156553,0.0,0.0,3.2150128909708506,True,True,True
15,(no label),tires,142,36.52829069386247,0.0,0.0,3.4439779662307846,39,22.604922997934416,0.0,0.0,3.427013346937462,True,True,True
15,(no label),traction,8,4.8183772440839885,0.0,0.0,1.671674133914487,1,0.989905395338694,0.334,0.4263252032520325,0.5207694387936638,False,False,True
15,(no label),tyre,23,15.483354387595346,0.0,0.0,3.0360327312447564,8,11.406518203146444,0.0,0.0,2.5975203540519805,True,True,True
15,(no label),tyres,43,22.338846185123767,0.0,0.0,3.315711687542379,18,14.221655310327499,0.0,0.0,3.058261066793535,True,True,True
