cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
15,rear axle,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,rid,0,6,12,379,0.595,1.0209229742781331e-05,0.0023366685830795123,True
15,rubber,0,15,34,379,1.685,1.5945915553483096e-11,9.029787076527566e-09,True
15,set,0,19,37,379,1.834,8.072694498750774e-16,7.070388749785878e-13,True
15,set hard,1,5,6,379,0.297,1.6783093031108127e-06,0.0004651678544419539,True
15,set tires,1,6,6,379,0.297,1.4271467404016276e-08,5.630415320330457e-06,True
15,slick,0,10,15,379,0.743,1.9147176358145152e-10,9.282211960249733e-08,True
15,soft,0,31,43,379,2.131,9.506572204684591e-32,1.5611692874533034e-28,True
15,soft compound,1,4,6,379,0.297,8.229539565031939e-05,0.015078995674974002,True
15,soft tire,1,10,11,379,0.545,8.393073004669757e-13,5.568931106371182e-10,True
15,soft tires,1,11,15,379,0.743,4.393469099331832e-12,2.6971794224010223e-09,True
15,softs,0,5,6,379,0.297,1.6783093031108127e-06,0.0004651678544419539,True
15,temperature,0,15,19,379,0.942,6.610464263154614e-17,6.030946896084727e-14,True
15,temperature window,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tire,0,96,120,379,5.947,8.063112635747663e-107,5.575260450705184e-103,True
15,tire grip,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tire medium,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tire run,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tire temperature,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,tire way,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tires,0,170,207,379,10.259,8.548963210618656e-201,1.4039107384477957e-196,True
15,tires gets,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tires getting,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tires going,1,11,13,379,0.644,2.747854811016274e-13,1.9304929072303422e-10,True
15,tires got,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,tires just,1,4,6,379,0.297,8.229539565031939e-05,0.015078995674974002,True
15,tires lot,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,tires make,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tires ve,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,traction,0,17,55,379,2.726,5.559796214276131e-10,2.5901552746338327e-07,True
15,try end,1,4,5,379,0.248,2.8550671418847013e-05,0.005735279829239213,True
15,tyre,0,30,36,379,1.784,3.456150146721441e-34,6.135880833455081e-31,True
15,tyres,0,58,67,379,3.321,7.58018174353541e-68,3.0177392628445704e-64,True
15,tyres fired,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,tyres got,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,warm,0,5,7,379,0.347,5.63478193499188e-06,0.0013708798360953579,True
15,warming,0,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,window,0,6,13,379,0.644,1.8170558400197155e-05,0.0037978289992105967,True
15,working,0,7,23,379,1.14,8.53819674437955e-05,0.015557754999855863,True
15,younger,0,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
16,allowed overtake,1,3,3,122,0.048,3.962995447325152e-06,0.001008997073425948,True
16,barrier,0,6,32,122,0.511,9.407639724816685e-06,0.0021683124148903807,True
16,barriers,0,5,35,122,0.558,0.0002106769716966146,0.03400233149092683,True
16,car,0,109,400,122,6.382,2.616874421554752e-130,2.2919632933745138e-126,True
16,car coming,1,4,5,122,0.08,3.04664893858045e-07,9.598478440166552e-05,True
16,car deployed,1,11,14,122,0.223,3.772634306766093e-18,3.783462631188566e-15,True
16,car ending,1,5,5,122,0.08,9.52506623089031e-10,4.315052072929122e-07,True
16,car ll,1,3,4,122,0.064,1.566689683709037e-05,0.003309090416189042,True
16,car safety,1,7,7,122,0.112,2.2138827791278356e-13,1.5893500764519048e-10,True
16,cars,0,8,87,122,1.388,6.797926369120997e-05,0.01266786347049135,True
16,deployed,0,14,18,122,0.287,9.361858391842219e-23,1.1283701909051957e-19,True
16,end lap,1,4,14,122,0.223,5.4552082110891846e-05,0.010409033559834904,True
16,ending,0,7,11,122,0.175,6.928510040445117e-11,3.670322318844829e-08,True
16,going safety,1,4,4,122,0.064,6.16949840700802e-08,2.1906054668083394e-05,True
16,got safety,1,4,4,122,0.064,6.16949840700802e-08,2.1906054668083394e-05,True
16,impact,0,3,4,122,0.064,1.566689683709037e-05,0.003309090416189042,True
16,lapped,0,4,5,122,0.08,3.04664893858045e-07,9.598478440166552e-05,True
16,lapped cars,1,4,4,122,0.064,6.16949840700802e-08,2.1906054668083394e-05,True
16,need safety,1,3,3,122,0.048,3.962995447325152e-06,0.001008997073425948,True
16,safety,0,106,138,122,2.202,4.705245785221953e-191,5.61960336617563e-187,True
16,safety car,1,105,134,122,2.138,1.9018827289077827e-190,2.0821812116082406e-186,True
16,surprised,0,3,7,122,0.112,0.000132345865674457,0.022348419600061006,True
16,timing,0,5,10,122,0.16,2.2511280560871977e-07,7.302325913494116e-05,True
16,virtual,0,34,38,122,0.606,3.698028432862923e-59,1.1849565448678035e-55,True
16,virtual safety,1,33,37,122,0.59,2.8293332371125475e-57,8.447874621793138e-54,True
17,10,0,6,98,67,0.859,0.0002017148622469103,0.03267631534223192,True
17,10 seconds,1,3,8,67,0.07,3.48937265284024e-05,0.00691432611824343,True
17,12 miles,1,2,3,67,0.026,0.00022560355621493132,0.03532645149140979,True
17,20,0,4,17,67,0.149,1.1758453725367265e-05,0.0026680114276750426,True
17,extra,0,5,28,67,0.245,3.7319141542970203e-06,0.0009538598325582205,True
17,gap,0,22,89,67,0.78,3.1629343597177722e-27,4.468103918734215e-24,True
17,gap come,1,2,3,67,0.026,0.00022560355621493132,0.03532645149140979,True
17,gap seconds,1,4,7,67,0.061,1.8473024078166422e-07,6.0672800282329796e-05,True
17,gap tenths,1,2,3,67,0.026,0.00022560355621493132,0.03532645149140979,True
17,half,0,6,46,67,0.403,2.5629341924986115e-06,0.0006928149022092543,True
17,hour,0,7,20,67,0.175,2.037095541965741e-10,9.803130546567442e-08,True
