cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
A35,A,35,24,35,3,0.08571428571428572,11,0.22,0.4,0.3033088235294118,0.5095693779904306,0.4444444444444444,0.3033088235294118,0.5095693779904306,0.0,0,19
A35,A,35,25,35,8,0.22857142857142856,22,0.44,0.4494949494949495,0.3688811188811189,0.5,0.6132478632478633,0.551948051948052,0.6666666666666666,8.0,0,18
A35,A,35,26,35,13,0.37142857142857144,30,0.6,0.4017857142857143,0.30833333333333335,0.5,0.625,0.547979797979798,0.6666666666666666,8.0,0,12
A35,A,35,27,35,13,0.37142857142857144,35,1.0,0.45454545454545453,0.3875,0.5357142857142857,0.8181818181818182,0.7386363636363636,0.8944444444444444,11.0,5,24
A35,A,35,28,35,6,0.17142857142857143,24,0.48,0.3956521739130435,0.3214285714285714,0.4836956521739131,0.6666666666666666,0.5888888888888889,0.7529761904761905,8.0,0,23
A35,A,35,29,35,0,0.0,9,0.18,0.35294117647058826,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.7058823529411765,0.0,0,17
A35,A,35,30,35,18,0.5142857142857142,33,0.66,0.5,0.38095238095238093,0.5384615384615384,0.631578947368421,0.55,0.75,15.0,0,24
A35,A,35,31,35,21,0.6,35,0.7,0.5294117647058824,0.47058823529411764,0.5941176470588235,0.6875,0.6180555555555556,0.7774725274725275,16.0,9,32
A35,A,35,32,35,1,0.02857142857142857,1,0.02,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0,6
A35,A,35,33,35,27,0.7714285714285715,31,0.62,0.6296296296296297,0.532563025210084,0.7165775401069518,0.782608695652174,0.7445652173913043,0.8885448916408669,20.0,0,38
B30,B,30,0,43,22,0.5116279069767442,43,1.0,0.5,0.44590643274853803,0.5669642857142857,0.7142857142857143,0.6622807017543859,0.7586206896551724,33.0,25,45
B30,B,30,1,43,43,1.0,43,1.0,0.8333333333333334,0.7362934362934364,0.8718263718263719,0.868421052631579,0.8245614035087719,0.936491935483871,35.0,27,39
B30,B,30,2,43,30,0.6976744186046512,42,0.98,0.5916666666666667,0.46282051282051284,0.6666666666666666,0.625,0.5346153846153846,0.6858974358974359,10.0,0,18
B30,B,30,3,43,16,0.37209302325581395,24,0.5,0.5409356725146199,0.4427083333333333,0.6027777777777777,0.6125,0.5,0.6997863247863247,10.0,0,22
B30,B,30,4,43,21,0.4883720930232558,27,0.54,0.5454545454545454,0.5,0.6125,0.6,0.5227272727272727,0.6666666666666666,10.0,0,14
B30,B,30,5,43,4,0.09302325581395349,17,0.34,0.16666666666666666,0.125,0.3,0.2,0.125,0.3,0.0,0,17
B30,B,30,6,43,16,0.37209302325581395,43,0.86,0.47058823529411764,0.44076899128268987,0.533176182992841,0.7402597402597403,0.7035229202037352,0.7678920371275036,85.0,67,94
B30,B,30,7,43,3,0.06976744186046512,6,0.12,0.5185185185185185,0.4775132275132275,0.6188888888888889,0.6417378917378918,0.5324074074074074,0.6912393162393162,0.0,0,27
B30,B,30,8,43,43,1.0,43,0.86,0.6896551724137931,0.6113296616837136,0.7857142857142857,0.8372093023255814,0.7666666666666667,0.8887362637362637,28.0,18,46
B30,B,30,9,43,27,0.627906976744186,43,0.86,0.5185185185185185,0.46291208791208793,0.5989974937343359,0.7,0.6220238095238095,0.7673160173160173,23.0,17,30
B30,B,30,10,43,16,0.37209302325581395,37,0.76,0.4,0.25,0.6,0.4444444444444444,0.2857142857142857,0.6666666666666666,5.0,0,9
B30,B,30,11,43,15,0.3488372093023256,39,0.78,0.46153846153846156,0.3920807453416149,0.5227743271221532,0.6296296296296297,0.550055617352614,0.6956521739130435,25.0,0,32
B30,B,30,12,43,29,0.6744186046511628,43,0.86,0.5238095238095238,0.48148148148148145,0.5925925925925926,0.7083333333333334,0.6666666666666666,0.7459677419354839,25.0,21,32
B30,B,30,13,43,25,0.5813953488372093,43,0.86,0.5,0.445,0.5625,0.7222222222222222,0.6583333333333333,0.7692307692307693,22.0,13,33
B30,B,30,14,43,15,0.3488372093023256,43,0.86,0.45454545454545453,0.403125,0.5192307692307692,0.64,0.5769230769230769,0.70076726342711,24.0,16,32
B30,B,30,15,43,39,0.9069767441860465,43,0.86,0.5614035087719298,0.5169930875576036,0.6031746031746031,0.7636363636363637,0.7132034632034632,0.7910052910052909,59.0,50,69
B30,B,30,16,43,30,0.6976744186046512,43,0.86,0.5454545454545454,0.4759725400457666,0.641025641025641,0.6153846153846154,0.5477272727272727,0.7165775401069518,16.0,8,29
B30,B,30,17,43,12,0.27906976744186046,34,0.68,0.4,0.3019230769230769,0.5340909090909091,0.5773809523809523,0.5,0.6443850267379679,10.0,0,23
B30,B,30,18,43,26,0.6046511627906976,42,0.84,0.5,0.40714285714285714,0.6666666666666666,0.75,0.6,1.0,5.0,0,11
B30,B,30,19,43,26,0.6046511627906976,41,0.82,0.5555555555555556,0.4,0.625,0.6666666666666666,0.5714285714285714,0.7777777777777778,8.0,0,13
B30,B,30,20,43,16,0.37209302325581395,35,0.7,0.4666666666666667,0.3981900452488688,0.5773809523809523,0.6153846153846154,0.5384615384615384,0.6923076923076923,13.0,0,19
B30,B,30,21,43,25,0.5813953488372093,43,0.86,0.5,0.41801075268817206,0.6,0.6956521739130435,0.596875,0.7777777777777778,15.0,7,46
B30,B,30,22,43,34,0.7906976744186046,40,0.8,0.6,0.5,0.7142857142857143,0.7,0.5928571428571429,0.8,9.0,0,13
B30,B,30,23,43,23,0.5348837209302325,43,0.86,0.5,0.3333333333333333,0.6666666666666666,0.5,0.4,0.6666666666666666,4.0,2,10
