cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
7,wrecking,6,6,44,0.044,1.1288460738544353e-13,0,5.969603649383159e-11
7,accidents,4,5,44,0.037,1.2793813882612427e-08,0,3.1085509947212355e-06
7,wreck,3,4,44,0.029,1.489140557563057e-06,0,0.0002546511284984
7,involved,4,15,44,0.111,3.3098244007770367e-06,0,0.0005382099471341
7,accident,3,5,44,0.037,3.703660673083722e-06,0,0.0005991551829232
7,incident,2,4,44,0.029,0.000315898270292,0,0.0320293957887016
8,pit,84,112,272,5.105,1.7853195560451737e-93,0,1.1235015966192277e-89
8,tires,64,73,272,3.328,4.537681608691314e-79,0,2.039687883106745e-75
8,pits,64,76,272,3.464,1.3040288089103148e-76,0,5.1289083090453815e-73
8,fuel,46,59,272,2.689,1.0463169537047856e-51,0,2.7435302456934226e-48
8,road,31,42,272,1.915,1.33327962784213e-33,0,2.3972367708601497e-30
8,pit road,30,39,272,1.778,1.7529114626888957e-33,1,3.0641866207503397e-30
8,coming pits,18,21,272,0.957,4.899217845983392e-22,1,5.22555557708025e-19
8,strategy,13,16,272,0.729,1.3747593318398522e-15,0,9.403652690508902e-13
8,pit strategy,11,13,272,0.593,1.0434313790109945e-13,1,5.5646726000984636e-11
8,gas,11,15,272,0.684,1.6823008267301386e-12,0,7.011072253385936e-10
8,going pit,9,11,272,0.501,3.7931911341757874e-11,1,1.3718707935269097e-08
8,drivers pit,7,7,272,0.319,3.79680819773798e-10,1,1.1828373261566887e-07
8,come,16,53,272,2.416,7.27447728008797e-10,0,2.159353090735547e-07
8,tank,9,15,272,0.684,2.9355599073230714e-09,0,7.962706248613831e-07
8,drivers,15,52,272,2.37,5.0904721033292964e-09,0,1.3459807120273636e-06
8,coming,27,171,272,7.795,9.762027798816667e-09,0,2.477114553949729e-06
8,coming pit,7,10,272,0.456,4.045057855944396e-08,1,9.358657752741942e-06
8,stop,8,15,272,0.684,8.202859185126976e-08,0,1.7861796834603482e-05
8,come pits,5,5,272,0.228,1.899926735391307e-07,1,3.985412981939164e-05
8,look pit,5,5,272,0.228,1.899926735391307e-07,1,3.985412981939164e-05
8,pit lane,7,12,272,0.547,2.466395543028899e-07,1,5.072231095516621e-05
8,wonder,8,19,272,0.866,8.208600962502597e-07,0,0.0001523797222921
8,pit cycle,5,6,272,0.274,1.0974132335905807e-06,1,0.0001929056279046
8,pit stop,5,6,272,0.274,1.0974132335905807e-06,1,0.0001929056279046
